iter	Passed	Remaining
0	1	1348
1	1	901
2	2	753
3	2	679
4	3	653
5	3	603
6	4	570
7	4	555
8	4	539
9	5	524
10	5	512
11	6	507
12	6	496
13	6	492
14	7	478
15	7	465
16	7	457
17	8	456
18	8	448
19	8	440
20	9	435
21	9	429
22	9	422
23	10	417
24	10	413
25	10	408
26	11	402
27	11	400
28	12	402
29	12	403
30	12	403
31	13	398
32	13	398
33	13	396
34	14	392
35	14	389
36	14	386
37	15	383
38	15	381
39	15	378
40	16	376
41	16	375
42	16	374
43	17	372
44	17	370
45	17	368
46	18	366
47	18	362
48	18	361
49	18	359
50	19	359
51	19	357
52	19	356
53	20	354
54	20	353
55	20	351
56	21	350
57	21	348
58	21	348
59	22	348
60	22	348
61	23	348
62	23	351
63	24	352
64	24	354
65	24	353
66	25	352
67	25	352
68	25	350
69	26	349
70	26	348
71	27	357
72	28	356
73	28	356
74	28	356
75	29	354
76	29	353
77	29	352
78	30	350
79	30	349
80	30	348
81	30	347
82	31	343
83	31	341
84	31	340
85	31	338
86	32	337
87	32	337
88	32	337
89	33	337
90	33	336
91	34	335
92	34	334
93	34	334
94	35	334
95	35	334
96	35	333
97	36	333
98	36	332
99	36	331
100	37	330
101	37	331
102	37	330
103	38	329
104	38	329
105	39	329
106	39	328
107	39	327
108	40	327
109	40	326
110	40	325
111	41	325
112	41	325
113	41	325
114	42	324
115	42	323
116	42	322
117	43	322
118	43	322
119	43	322
120	44	323
121	44	322
122	45	322
123	45	321
124	45	321
125	46	321
126	46	322
127	47	322
128	47	322
129	48	321
130	48	321
131	48	322
132	49	321
133	49	320
134	49	320
135	50	319
136	50	318
137	50	318
138	51	317
139	51	317
140	51	316
141	52	315
142	52	315
143	52	314
144	53	314
145	53	313
146	53	312
147	54	312
148	54	311
149	54	310
150	55	310
151	55	309
152	55	308
153	56	308
154	56	307
155	56	306
156	57	306
157	57	306
158	57	306
159	58	307
160	58	305
161	59	305
162	59	305
163	59	305
164	60	305
165	60	305
166	61	305
167	61	304
168	61	304
169	62	303
170	62	302
171	62	302
172	63	301
173	63	300
174	63	299
175	64	299
176	64	299
177	64	298
178	65	298
179	65	298
180	65	297
181	66	297
182	66	297
183	67	297
184	67	296
185	67	295
186	67	295
187	68	294
188	68	294
189	68	293
190	69	293
191	69	292
192	69	292
193	70	291
194	70	290
195	70	290
196	71	289
197	71	289
198	71	288
199	71	287
200	72	286
201	72	287
202	73	286
203	73	286
204	73	286
205	74	286
206	74	286
207	75	285
208	75	285
209	75	285
210	76	285
211	76	285
212	77	284
213	77	284
214	77	283
215	78	283
216	78	282
217	78	282
218	79	281
219	79	281
220	79	280
221	79	280
222	80	279
223	80	278
224	80	278
225	81	277
226	81	277
227	81	276
228	82	276
229	82	275
230	82	275
231	82	274
232	83	274
233	83	273
234	83	273
235	84	272
236	84	272
237	84	271
238	85	271
239	85	270
240	85	270
241	86	269
242	86	269
243	86	268
244	87	268
245	87	267
246	87	267
247	88	267
248	88	267
249	88	266
250	89	266
251	89	266
252	90	265
253	90	265
254	90	264
255	91	264
256	91	264
257	91	264
258	92	263
259	92	263
260	92	262
261	93	262
262	93	261
263	93	261
264	94	260
265	94	260
266	94	260
267	95	259
268	95	259
269	95	258
270	96	258
271	96	258
272	96	257
273	97	257
274	97	256
275	97	256
276	97	255
277	98	255
278	98	255
279	98	254
280	99	254
281	99	253
282	99	253
283	100	252
284	100	252
285	100	251
286	101	251
287	101	250
288	101	250
289	102	249
290	102	249
291	102	248
292	102	248
293	103	248
294	104	248
295	104	248
296	104	248
297	105	248
298	105	248
299	106	247
300	106	247
301	106	247
302	107	246
303	107	246
304	108	246
305	108	246
306	108	245
307	109	245
308	109	245
309	110	244
310	110	244
311	110	244
312	111	244
313	111	243
314	112	243
315	112	243
316	112	243
317	113	243
318	113	242
319	114	242
320	114	241
321	114	241
322	115	241
323	115	241
324	115	240
325	116	240
326	116	240
327	117	240
328	117	239
329	117	239
330	118	238
331	118	238
332	118	238
333	119	237
334	119	237
335	119	237
336	120	236
337	121	237
338	121	236
339	121	236
340	122	236
341	122	236
342	123	236
343	123	235
344	123	235
345	124	234
346	124	234
347	125	234
348	125	233
349	125	233
350	126	233
351	126	232
352	126	232
353	126	231
354	127	231
355	127	230
356	128	230
357	128	230
358	128	229
359	129	229
360	129	229
361	129	228
362	130	228
363	130	227
364	130	227
365	131	227
366	131	226
367	131	226
368	131	225
369	132	225
370	132	224
371	132	224
372	133	223
373	133	223
374	133	222
375	134	222
376	134	221
377	134	221
378	135	221
379	135	220
380	135	220
381	136	220
382	136	220
383	137	219
384	137	219
385	137	219
386	138	219
387	138	218
388	138	218
389	139	217
390	139	217
391	139	216
392	140	216
393	140	216
394	140	215
395	140	215
396	141	214
397	141	214
398	141	213
399	142	213
400	142	212
401	142	212
402	143	212
403	143	211
404	143	211
405	144	210
406	144	210
407	144	209
408	144	209
409	145	209
410	145	208
411	145	208
412	146	207
413	146	207
414	146	206
415	147	206
416	147	206
417	147	205
418	148	205
419	148	204
420	148	204
421	148	203
422	149	203
423	149	203
424	149	202
425	150	202
426	150	201
427	150	201
428	151	201
429	151	200
